'Time','PLETH',,,
'[21:30:36.192 2]',600,1446,-7,1
'[21:30:36.200 2]',593,1447,-6,-1
'[21:30:36.208 2]',587,1448,-7,0
'[21:30:36.216 2]',580,1449,-7,-1
'[21:30:36.224 2]',573,1450,-8,1
'[21:30:36.232 2]',565,1451,-7,-1
'[21:30:36.240 2]',558,1452,-8,1
'[21:30:36.248 2]',550,1453,-7,0
'[21:30:36.256 2]',543,1454,-7,-1
'[21:30:36.264 2]',536,1455,-8,0
'[21:30:36.272 2]',528,1456,-8,1
'[21:30:36.280 2]',520,1457,-7,0
'[21:30:36.288 2]',513,1458,-7,1
'[21:30:36.296 2]',506,1459,-6,1
'[21:30:36.304 2]',500,1460,-5,-3
'[21:30:36.312 2]',495,1461,-8,0
'[21:30:36.320 2]',487,1462,-8,0
'[21:30:36.328 2]',479,1463,-8,1
'[21:30:36.336 2]',471,1464,-7,0
'[21:30:36.344 2]',464,1465,-7,1
'[21:30:36.352 2]',457,1466,-6,3
'[21:30:36.360 2]',451,1467,-3,4
'[21:30:36.368 2]',448,1468,1,7
'[21:30:36.376 2]',449,1469,8,4
'[21:30:36.384 2]',457,1470,12,4
'[21:30:36.392 2]',469,1471,16,2
'[21:30:36.400 2]',485,1472,18,5
'[21:30:36.408 2]',503,1473,23,0
'[21:30:36.416 2]',526,1474,23,1
'[21:30:36.424 2]',549,1475,24,-2
'[21:30:36.432 2]',573,1476,22,-1
'[21:30:36.440 2]',595,1477,21,-5
'[21:30:36.448 2]',616,1478,16,-1
'[21:30:36.456 2]',632,1479,15,-2
'[21:30:36.464 2]',647,1480,13,-1
'[21:30:36.472 2]',660,1481,12,-2
'[21:30:36.480 2]',672,1482,10,-2
'[21:30:36.488 2]',682,1483,8,-2
'[21:30:36.496 2]',690,1484,6,-4
'[21:30:36.504 2]',696,1485,2,-1
'[21:30:36.512 2]',698,1486,1,-3
'[21:30:36.520 2]',699,1487,-2,-2
'[21:30:36.528 2]',697,1488,-4,-2
'[21:30:36.536 2]',693,1489,-6,-2
'[21:30:36.544 2]',687,1490,-8,-1
'[21:30:36.552 2]',679,1491,-9,-2
'[21:30:36.560 2]',670,1492,-11,1
'[21:30:36.568 2]',659,1493,-10,0
'[21:30:36.576 2]',649,1494,-10,2
'[21:30:36.584 2]',639,1495,-8,3
'[21:30:36.592 2]',631,1496,-5,-1
'[21:30:36.600 2]',626,1497,-6,0
'[21:30:36.608 2]',620,1498,-6,-1
'[21:30:36.616 2]',614,1499,-7,0
'[21:30:36.624 2]',607,1500,-7,-1
'[21:30:36.632 2]',600,1501,-8,2
'[21:30:36.640 2]',592,1502,-6,-1
'[21:30:36.648 2]',586,1503,-7,0
'[21:30:36.656 2]',579,1504,-7,0
'[21:30:36.664 2]',572,1505,-7,0
'[21:30:36.672 2]',565,1506,-7,-1
'[21:30:36.680 2]',558,1507,-8,1
'[21:30:36.688 2]',550,1508,-7,1
'[21:30:36.696 2]',543,1509,-6,1
'[21:30:36.704 2]',537,1510,-5,-1
'[21:30:36.712 2]',532,1511,-6,0
'[21:30:36.720 2]',526,1512,-6,-1
'[21:30:36.728 2]',520,1513,-7,-2
'[21:30:36.736 2]',513,1514,-9,1
'[21:30:36.744 2]',504,1515,-8,-1
'[21:30:36.752 2]',496,1516,-9,1
'[21:30:36.760 2]',487,1517,-8,0
'[21:30:36.768 2]',479,1518,-8,1
'[21:30:36.776 2]',471,1519,-7,0
'[21:30:36.784 2]',464,1520,-7,2
'[21:30:36.792 2]',457,1521,-5,2
'[21:30:36.800 2]',452,1522,-3,0
'[21:30:36.808 2]',449,1523,-3,2
'[21:30:36.816 2]',446,1524,-1,6
'[21:30:36.824 2]',445,1525,5,4
'[21:30:36.832 2]',450,1526,9,7
'[21:30:36.840 2]',459,1527,16,5
'[21:30:36.848 2]',475,1528,21,3
'[21:30:36.856 2]',496,1529,24,2
'[21:30:36.864 2]',520,1530,26,0
'[21:30:36.872 2]',546,1531,26,-2
'[21:30:36.880 2]',572,1532,24,-3
'[21:30:36.888 2]',596,1533,21,-6
'[21:30:36.896 2]',617,1534,15,-3
'[21:30:36.904 2]',632,1535,12,1
'[21:30:36.912 2]',644,1536,13,-2
'[21:30:36.920 2]',657,1537,11,-2
'[21:30:36.928 2]',668,1538,9,-1
'[21:30:36.936 2]',677,1539,8,-2
'[21:30:36.944 2]',685,1540,6,-2
'[21:30:36.952 2]',691,1541,4,-1
'[21:30:36.960 2]',695,1542,3,-4
'[21:30:36.968 2]',698,1543,-1,-2
'[21:30:36.976 2]',697,1544,-3,-2
'[21:30:36.984 2]',694,1545,-5,-2
'[21:30:36.992 2]',689,1546,-7,-1
'[21:30:37.000 2]',682,1547,-8,0
'[21:30:37.008 2]',674,1548,-8,-2
'[21:30:37.016 2]',666,1549,-10,1
'[21:30:37.024 2]',656,1550,-9,1
'[21:30:37.032 2]',647,1551,-8,1
'[21:30:37.040 2]',639,1552,-7,0
'[21:30:37.048 2]',632,1553,-7,0
'[21:30:37.056 2]',625,1554,-7,-1
'[21:30:37.064 2]',618,1555,-8,-1
'[21:30:37.072 2]',610,1556,-9,0
'[21:30:37.080 2]',601,1557,-9,2
'[21:30:37.088 2]',592,1558,-7,0
'[21:30:37.096 2]',585,1559,-7,1
'[21:30:37.104 2]',578,1560,-6,-1
'[21:30:37.112 2]',572,1561,-7,0
'[21:30:37.120 2]',565,1562,-7,-1
'[21:30:37.128 2]',558,1563,-8,1
'[21:30:37.136 2]',550,1564,-7,-1
'[21:30:37.144 2]',543,1565,-8,1
'[21:30:37.152 2]',535,1566,-7,-1
'[21:30:37.160 2]',528,1567,-8,1
'[21:30:37.168 2]',520,1568,-7,-1
'[21:30:37.176 2]',513,1569,-8,-16
'[21:30:37.184 2]',505,1570,-24,-9
'[21:30:37.192 2]',481,1571,-33,13
'[21:30:37.200 2]',448,1572,-20,5
'[21:30:37.208 2]',428,1573,-15,4
'[21:30:37.216 2]',413,1574,-11,0
'[21:30:37.224 2]',402,1575,-11,2
'[21:30:37.232 2]',391,1576,-9,-1
'[21:30:37.240 2]',382,1577,-10,3
'[21:30:37.248 2]',372,1578,-7,2
'[21:30:37.256 2]',365,1579,-5,7
'[21:30:37.264 2]',360,1580,2,6
'[21:30:37.272 2]',362,1581,8,7
'[21:30:37.280 2]',370,1582,15,5
'[21:30:37.288 2]',385,1583,20,2
'[21:30:37.296 2]',405,1584,22,6
'[21:30:37.304 2]',427,1585,28,3
'[21:30:37.312 2]',455,1586,31,0
'[21:30:37.320 2]',486,1587,31,-2
'[21:30:37.328 2]',517,1588,29,-3
'[21:30:37.336 2]',546,1589,26,-4
'[21:30:37.344 2]',572,1590,22,-2
'[21:30:37.352 2]',594,1591,20,-4
'[21:30:37.360 2]',614,1592,16,-1
'[21:30:37.368 2]',630,1593,15,-2
'[21:30:37.376 2]',645,1594,13,-4
'[21:30:37.384 2]',658,1595,9,-5
'[21:30:37.392 2]',667,1596,4,-4
'[21:30:37.400 2]',671,1597,0,0
'[21:30:37.408 2]',671,1598,0,-2
'[21:30:37.416 2]',671,1599,-2,-1
'[21:30:37.424 2]',669,1600,-3,-2
'[21:30:37.432 2]',666,1601,-5,-2
'[21:30:37.440 2]',661,1602,-7,-1
'[21:30:37.448 2]',654,1603,-8,0
'[21:30:37.456 2]',646,1604,-8,-1
'[21:30:37.464 2]',638,1605,-9,-1
'[21:30:37.472 2]',629,1606,-10,-1
'[21:30:37.480 2]',619,1607,-11,1
'[21:30:37.488 2]',608,1608,-10,1
'[21:30:37.496 2]',598,1609,-9,-1
'[21:30:37.504 2]',589,1610,-10,-1
'[21:30:37.512 2]',579,1611,-11,1
'[21:30:37.520 2]',568,1612,-10,0
'[21:30:37.528 2]',558,1613,-10,3
'[21:30:37.536 2]',548,1614,-7,-1
'[21:30:37.544 2]',541,1615,-8,0
'[21:30:37.552 2]',533,1616,-8,-1
'[21:30:37.560 2]',525,1617,-9,0
'[21:30:37.568 2]',516,1618,-9,1
'[21:30:37.576 2]',507,1619,-8,-3
'[21:30:37.584 2]',499,1620,-11,1
'[21:30:37.592 2]',488,1621,-10,2
'[21:30:37.600 2]',478,1622,-8,0
'[21:30:37.608 2]',470,1623,-8,1
'[21:30:37.616 2]',462,1624,-7,-2
'[21:30:37.624 2]',455,1625,-9,-1
'[21:30:37.632 2]',446,1626,-10,0
'[21:30:37.640 2]',436,1627,-10,0
'[21:30:37.648 2]',426,1628,-10,1
'[21:30:37.656 2]',416,1629,-9,-1
'[21:30:37.664 2]',407,1630,-10,1
'[21:30:37.672 2]',397,1631,-9,0
'[21:30:37.680 2]',388,1632,-9,1
'[21:30:37.688 2]',379,1633,-8,4
'[21:30:37.696 2]',371,1634,-4,-1
'[21:30:37.704 2]',367,1635,-5,4
'[21:30:37.712 2]',362,1636,-1,5
'[21:30:37.720 2]',361,1637,4,6
'[21:30:37.728 2]',365,1638,10,9
'[21:30:37.736 2]',375,1639,19,5
'[21:30:37.744 2]',394,1640,24,7
'[21:30:37.752 2]',418,1641,31,1
'[21:30:37.760 2]',449,1642,32,2
'[21:30:37.768 2]',481,1643,34,-2
'[21:30:37.776 2]',515,1644,32,-1
'[21:30:37.784 2]',547,1645,31,-9
'[21:30:37.792 2]',578,1646,22,-3
'[21:30:37.800 2]',600,1647,19,-3
'[21:30:37.808 2]',619,1648,16,0
'[21:30:37.816 2]',635,1649,16,-3
'[21:30:37.824 2]',651,1650,13,-2
'[21:30:37.832 2]',664,1651,11,-2
'[21:30:37.840 2]',675,1652,9,-2
'[21:30:37.848 2]',684,1653,7,-2
'[21:30:37.856 2]',691,1654,5,-2
'[21:30:37.864 2]',696,1655,3,-4
'[21:30:37.872 2]',699,1656,-1,-3
'[21:30:37.880 2]',698,1657,-4,-1
'[21:30:37.888 2]',694,1658,-5,-2
'[21:30:37.896 2]',689,1659,-7,0
'[21:30:37.904 2]',682,1660,-7,1
'[21:30:37.912 2]',675,1661,-6,-2
'[21:30:37.920 2]',669,1662,-8,0
'[21:30:37.928 2]',661,1663,-8,0
'[21:30:37.936 2]',653,1664,-8,-1
'[21:30:37.944 2]',645,1665,-9,1
'[21:30:37.952 2]',636,1666,-8,-1
'[21:30:37.960 2]',628,1667,-9,0
'[21:30:37.968 2]',619,1668,-9,0
'[21:30:37.976 2]',610,1669,-9,0
'[21:30:37.984 2]',601,1670,-9,2
'[21:30:37.992 2]',592,1671,-7,-1
'[21:30:38.000 2]',585,1672,-8,-2
'[21:30:38.008 2]',577,1673,-10,0
'[21:30:38.016 2]',567,1674,-10,-1
'[21:30:38.024 2]',557,1675,-11,1
'[21:30:38.032 2]',546,1676,-10,-2
'[21:30:38.040 2]',536,1677,-12,-1
'[21:30:38.048 2]',524,1678,-13,1
'[21:30:38.056 2]',511,1679,-12,0
'[21:30:38.064 2]',499,1680,-12,1
'[21:30:38.072 2]',487,1681,-11,2
'[21:30:38.080 2]',476,1682,-9,1
'[21:30:38.088 2]',467,1683,-8,2
'[21:30:38.096 2]',459,1684,-6,-4
'[21:30:38.104 2]',453,1685,-10,-1
'[21:30:38.112 2]',443,1686,-11,0
'[21:30:38.120 2]',432,1687,-11,1
'[21:30:38.128 2]',421,1688,-10,-2
'[21:30:38.136 2]',411,1689,-12,1
'[21:30:38.144 2]',399,1690,-11,1
'[21:30:38.152 2]',388,1691,-10,2
'[21:30:38.160 2]',378,1692,-8,1
'[21:30:38.168 2]',370,1693,-7,6
'[21:30:38.176 2]',363,1694,-1,6
'[21:30:38.184 2]',362,1695,5,4
'[21:30:38.192 2]',367,1696,9,6
'[21:30:38.200 2]',376,1697,15,7
'[21:30:38.208 2]',391,1698,22,7
'[21:30:38.216 2]',413,1699,29,2
'[21:30:38.224 2]',442,1700,31,2
'[21:30:38.232 2]',473,1701,33,1
'[21:30:38.240 2]',506,1702,34,-3
'[21:30:38.248 2]',540,1703,31,-4
'[21:30:38.256 2]',571,1704,27,-2
'[21:30:38.264 2]',598,1705,25,-5
'[21:30:38.272 2]',623,1706,20,-3
'[21:30:38.280 2]',643,1707,17,-4
'[21:30:38.288 2]',660,1708,13,-6
'[21:30:38.296 2]',673,1709,7,0
'[21:30:38.304 2]',680,1710,7,-1
'[21:30:38.312 2]',687,1711,6,-1
'[21:30:38.320 2]',693,1712,5,-3
'[21:30:38.328 2]',698,1713,2,-1
'[21:30:38.336 2]',700,1714,1,-3
'[21:30:38.344 2]',701,1715,-2,-2
'[21:30:38.352 2]',699,1716,-4,-2
'[21:30:38.360 2]',695,1717,-6,-1
'[21:30:38.368 2]',689,1718,-7,0
'[21:30:38.376 2]',682,1719,-7,2
'[21:30:38.384 2]',675,1720,-5,-1
'[21:30:38.392 2]',670,1721,-6,0
'[21:30:38.400 2]',664,1722,-6,-1
'[21:30:38.408 2]',658,1723,-7,1
'[21:30:38.416 2]',651,1724,-6,-2
'[21:30:38.424 2]',645,1725,-8,1
'[21:30:38.432 2]',637,1726,-7,-1
'[21:30:38.440 2]',630,1727,-8,0
'[21:30:38.448 2]',622,1728,-8,0
'[21:30:38.456 2]',614,1729,-8,-1
'[21:30:38.464 2]',606,1730,-9,-1
'[21:30:38.472 2]',597,1731,-10,0
'[21:30:38.480 2]',587,1732,-10,0
'[21:30:38.488 2]',577,1733,-10,1
'[21:30:38.496 2]',567,1734,-9,-1
'[21:30:38.504 2]',558,1735,-10,1
'[21:30:38.512 2]',548,1736,-9,0
'[21:30:38.520 2]',539,1737,-9,0
'[21:30:38.528 2]',530,1738,-9,0
'[21:30:38.536 2]',521,1739,-9,0
'[21:30:38.544 2]',512,1740,-9,1
'[21:30:38.552 2]',503,1741,-8,-1
'[21:30:38.560 2]',495,1742,-9,0
'[21:30:38.568 2]',486,1743,-9,1
'[21:30:38.576 2]',477,1744,-8,-1
'[21:30:38.584 2]',469,1745,-9,1
'[21:30:38.592 2]',460,1746,-8,0
'[21:30:38.600 2]',452,1747,-8,-2
'[21:30:38.608 2]',444,1748,-10,0
'[21:30:38.616 2]',434,1749,-10,-1
'[21:30:38.624 2]',424,1750,-11,2
'[21:30:38.632 2]',413,1751,-9,1
'[21:30:38.640 2]',404,1752,-8,5
'[21:30:38.648 2]',396,1753,-3,4
'[21:30:38.656 2]',393,1754,1,6
'[21:30:38.664 2]',394,1755,7,7
'[21:30:38.672 2]',401,1756,14,8
'[21:30:38.680 2]',415,1757,22,-1
'[21:30:38.688 2]',437,1758,21,3
'[21:30:38.696 2]',458,1759,24,4
'[21:30:38.704 2]',482,1760,28,2
'[21:30:38.712 2]',510,1761,30,-3
'[21:30:38.720 2]',540,1762,27,-2
'[21:30:38.728 2]',567,1763,25,-3
'[21:30:38.736 2]',592,1764,22,-5
'[21:30:38.744 2]',614,1765,17,-1
'[21:30:38.752 2]',631,1766,16,-3
'[21:30:38.760 2]',647,1767,13,-3
'[21:30:38.768 2]',660,1768,10,-2
'[21:30:38.776 2]',670,1769,8,-2
'[21:30:38.784 2]',678,1770,6,-3
'[21:30:38.792 2]',684,1771,3,-2
'[21:30:38.800 2]',687,1772,1,-3
'[21:30:38.808 2]',688,1773,-2,-3
'[21:30:38.816 2]',686,1774,-5,-2
'[21:30:38.824 2]',681,1775,-7,0
'[21:30:38.832 2]',674,1776,-7,-2
'[21:30:38.840 2]',667,1777,-9,0
'[21:30:38.848 2]',658,1778,-9,-1
'[21:30:38.856 2]',649,1779,-10,0
'[21:30:38.864 2]',639,1780,-10,-1
'[21:30:38.872 2]',629,1781,-11,-1
'[21:30:38.880 2]',618,1782,-12,2
'[21:30:38.888 2]',606,1783,-10,2
'[21:30:38.896 2]',596,1784,-8,1
'[21:30:38.904 2]',588,1785,-7,0
'[21:30:38.912 2]',581,1786,-7,0
'[21:30:38.920 2]',574,1787,-7,0
'[21:30:38.928 2]',567,1788,-7,0
'[21:30:38.936 2]',560,1789,-7,0
'[21:30:38.944 2]',553,1790,-7,1
'[21:30:38.952 2]',546,1791,-6,-3
'[21:30:38.960 2]',540,1792,-9,2
'[21:30:38.968 2]',531,1793,-7,0
'[21:30:38.976 2]',524,1794,-7,0
'[21:30:38.984 2]',517,1795,-7,2
'[21:30:38.992 2]',510,1796,-5,0
'[21:30:39.000 2]',505,1797,-5,-2
'[21:30:39.008 2]',500,1798,-7,0
'[21:30:39.016 2]',493,1799,-7,-1
'[21:30:39.024 2]',486,1800,-8,0
'[21:30:39.032 2]',478,1801,-8,0
'[21:30:39.040 2]',470,1802,-8,2
'[21:30:39.048 2]',462,1803,-6,-1
'[21:30:39.056 2]',456,1804,-7,-1
'[21:30:39.064 2]',449,1805,-8,1
'[21:30:39.072 2]',441,1806,-7,0
'[21:30:39.080 2]',434,1807,-7,2
'[21:30:39.088 2]',427,1808,-5,2
'[21:30:39.096 2]',422,1809,-3,4
'[21:30:39.104 2]',419,1810,1,6
'[21:30:39.112 2]',420,1811,7,8
'[21:30:39.120 2]',427,1812,15,6
'[21:30:39.128 2]',442,1813,21,7
'[21:30:39.136 2]',463,1814,28,4
'[21:30:39.144 2]',491,1815,32,2
'[21:30:39.152 2]',523,1816,34,-1
'[21:30:39.160 2]',557,1817,33,-1
'[21:30:39.168 2]',590,1818,32,-4
'[21:30:39.176 2]',622,1819,28,-6
'[21:30:39.184 2]',650,1820,22,-5
'[21:30:39.192 2]',672,1821,17,1
'[21:30:39.200 2]',689,1822,18,-4
'[21:30:39.208 2]',707,1823,14,-2
'[21:30:39.216 2]',721,1824,12,-2
'[21:30:39.224 2]',733,1825,10,-25
'[21:30:39.232 2]',743,1826,-15,-12
'[21:30:39.240 2]',728,1827,-27,12
'[21:30:39.248 2]',701,1828,-15,5
'[21:30:39.256 2]',686,1829,-10,3
'[21:30:39.264 2]',676,1830,-7,0
'[21:30:39.272 2]',669,1831,-7,-3
'[21:30:39.280 2]',662,1832,-10,1
'[21:30:39.288 2]',652,1833,-9,-1
'[21:30:39.296 2]',643,1834,-10,0
'[21:30:39.304 2]',633,1835,-10,0
'[21:30:39.312 2]',623,1836,-10,1
'[21:30:39.320 2]',613,1837,-9,1
'[21:30:39.328 2]',604,1838,-8,0
'[21:30:39.336 2]',596,1839,-8,1
'[21:30:39.344 2]',588,1840,-7,-2
'[21:30:39.352 2]',581,1841,-9,0
'[21:30:39.360 2]',572,1842,-9,-2
'[21:30:39.368 2]',563,1843,-11,2
'[21:30:39.376 2]',552,1844,-9,1
'[21:30:39.384 2]',543,1845,-8,-1
'[21:30:39.392 2]',535,1846,-9,1
'[21:30:39.400 2]',526,1847,-8,0
'[21:30:39.408 2]',518,1848,-8,-1
'[21:30:39.416 2]',510,1849,-9,1
'[21:30:39.424 2]',501,1850,-8,0
'[21:30:39.432 2]',493,1851,-8,-1
'[21:30:39.440 2]',485,1852,-9,-1
'[21:30:39.448 2]',476,1853,-10,1
'[21:30:39.456 2]',466,1854,-9,0
'[21:30:39.464 2]',457,1855,-9,-1
'[21:30:39.472 2]',448,1856,-10,0
'[21:30:39.480 2]',438,1857,-10,2
'[21:30:39.488 2]',428,1858,-8,1
'[21:30:39.496 2]',420,1859,-7,-1
'[21:30:39.504 2]',413,1860,-8,-2
'[21:30:39.512 2]',405,1861,-10,1
'[21:30:39.520 2]',395,1862,-9,2
'[21:30:39.528 2]',386,1863,-7,3
'[21:30:39.536 2]',379,1864,-4,6
'[21:30:39.544 2]',375,1865,2,7
'[21:30:39.552 2]',377,1866,9,7
'[21:30:39.560 2]',386,1867,16,5
'[21:30:39.568 2]',402,1868,21,6
'[21:30:39.576 2]',423,1869,27,-3
'[21:30:39.584 2]',450,1870,24,-1
'[21:30:39.592 2]',474,1871,23,2
'[21:30:39.600 2]',497,1872,25,-1
'[21:30:39.608 2]',522,1873,24,-1
'[21:30:39.616 2]',546,1874,23,-4
'[21:30:39.624 2]',569,1875,19,-1
'[21:30:39.632 2]',588,1876,18,-3
'[21:30:39.640 2]',606,1877,15,-1
'[21:30:39.648 2]',621,1878,14,-1
'[21:30:39.656 2]',635,1879,13,-3
'[21:30:39.664 2]',648,1880,10,-4
'[21:30:39.672 2]',658,1881,6,-2
'[21:30:39.680 2]',664,1882,4,-3
'[21:30:39.688 2]',668,1883,1,-3
'[21:30:39.696 2]',669,1884,-2,-1
'[21:30:39.704 2]',667,1885,-3,-1
'[21:30:39.712 2]',664,1886,-4,-1
'[21:30:39.720 2]',660,1887,-5,-1
'[21:30:39.728 2]',655,1888,-6,0
'[21:30:39.736 2]',649,1889,-6,-3
'[21:30:39.744 2]',643,1890,-9,1
'[21:30:39.752 2]',634,1891,-8,-1
'[21:30:39.760 2]',626,1892,-9,0
'[21:30:39.768 2]',617,1893,-9,1
'[21:30:39.776 2]',608,1894,-8,0
'[21:30:39.784 2]',600,1895,-8,2
'[21:30:39.792 2]',592,1896,-6,-2
'[21:30:39.800 2]',586,1897,-8,0
'[21:30:39.808 2]',578,1898,-8,1
'[21:30:39.816 2]',570,1899,-7,-1
'[21:30:39.824 2]',563,1900,-8,1
'[21:30:39.832 2]',555,1901,-7,0
'[21:30:39.840 2]',548,1902,-7,-2
'[21:30:39.848 2]',541,1903,-9,0
'[21:30:39.856 2]',532,1904,-9,0
'[21:30:39.864 2]',523,1905,-9,-1
'[21:30:39.872 2]',514,1906,-10,2
'[21:30:39.880 2]',504,1907,-8,0
'[21:30:39.888 2]',496,1908,-8,0
'[21:30:39.896 2]',488,1909,-8,-1
'[21:30:39.904 2]',480,1910,-9,-1
'[21:30:39.912 2]',471,1911,-10,1
'[21:30:39.920 2]',461,1912,-9,-2
'[21:30:39.928 2]',452,1913,-11,1
'[21:30:39.936 2]',441,1914,-10,0
'[21:30:39.944 2]',431,1915,-10,1
'[21:30:39.952 2]',421,1916,-9,0
'[21:30:39.960 2]',412,1917,-9,3
'[21:30:39.968 2]',403,1918,-6,4
'[21:30:39.976 2]',397,1919,-2,4
'[21:30:39.984 2]',395,1920,2,6
'[21:30:39.992 2]',397,1921,8,5
'[21:30:40.000 2]',405,1922,13,8
'[21:30:40.008 2]',418,1923,21,3
'[21:30:40.016 2]',439,1924,24,3
'[21:30:40.024 2]',463,1925,27,-1
'[21:30:40.032 2]',490,1926,26,-2
'[21:30:40.040 2]',516,1927,24,-2
'[21:30:40.048 2]',540,1928,22,-2
'[21:30:40.056 2]',562,1929,20,-4
'[21:30:40.064 2]',582,1930,16,0
'[21:30:40.072 2]',598,1931,16,-3
'[21:30:40.080 2]',614,1932,13,-4
'[21:30:40.088 2]',627,1933,9,-2
'[21:30:40.096 2]',636,1934,7,-1
'[21:30:40.104 2]',643,1935,6,-1
'[21:30:40.112 2]',649,1936,5,-2
'[21:30:40.120 2]',654,1937,3,-2
'[21:30:40.128 2]',657,1938,1,-2
'[21:30:40.136 2]',658,1939,-1,-3
'[21:30:40.144 2]',657,1940,-4,-1
'[21:30:40.152 2]',653,1941,-5,-3
'[21:30:40.160 2]',648,1942,-8,-1
'[21:30:40.168 2]',640,1943,-9,1
'[21:30:40.176 2]',631,1944,-8,-1
'[21:30:40.184 2]',623,1945,-9,0
'[21:30:40.192 2]',614,1946,-9,0
'[21:30:40.200 2]',605,1947,-9,1
'[21:30:40.208 2]',596,1948,-8,1
'[21:30:40.216 2]',588,1949,-7,-1
'[21:30:40.224 2]',581,1950,-8,0
'[21:30:40.232 2]',573,1951,-8,-1
'[21:30:40.240 2]',565,1952,-9,1
'[21:30:40.248 2]',556,1953,-8,1
'[21:30:40.256 2]',548,1954,-7,-1
'[21:30:40.264 2]',541,1955,-8,1
'[21:30:40.272 2]',533,1956,-7,-1
'[21:30:40.280 2]',526,1957,-8,1
'[21:30:40.288 2]',518,1958,-7,0
'[21:30:40.296 2]',511,1959,-7,0
'[21:30:40.304 2]',504,1960,-7,-1
'[21:30:40.312 2]',497,1961,-8,0
'[21:30:40.320 2]',489,1962,-8,0
'[21:30:40.328 2]',481,1963,-8,0
'[21:30:40.336 2]',473,1964,-8,0
'[21:30:40.344 2]',465,1965,-8,-2
'[21:30:40.352 2]',457,1966,-10,-1
'[21:30:40.360 2]',447,1967,-11,1
'[21:30:40.368 2]',436,1968,-10,1
'[21:30:40.376 2]',426,1969,-9,1
'[21:30:40.384 2]',417,1970,-8,2
'[21:30:40.392 2]',409,1971,-6,0
'[21:30:40.400 2]',403,1972,-6,3
'[21:30:40.408 2]',397,1973,-3,5
'[21:30:40.416 2]',394,1974,2,7
'[21:30:40.424 2]',396,1975,9,6
'[21:30:40.432 2]',405,1976,15,7
'[21:30:40.440 2]',420,1977,22,4
'[21:30:40.448 2]',442,1978,26,3
'[21:30:40.456 2]',468,1979,29,0
'[21:30:40.464 2]',497,1980,29,-2
'[21:30:40.472 2]',526,1981,27,-1
'[21:30:40.480 2]',553,1982,26,-8
'[21:30:40.488 2]',579,1983,18,-4
'[21:30:40.496 2]',597,1984,14,1
'[21:30:40.504 2]',611,1985,15,-2
'[21:30:40.512 2]',626,1986,13,0
'[21:30:40.520 2]',639,1987,13,-2
'[21:30:40.528 2]',652,1988,11,-1
'[21:30:40.536 2]',663,1989,10,-4
'[21:30:40.544 2]',673,1990,6,-1
'[21:30:40.552 2]',679,1991,5,-5
'[21:30:40.560 2]',684,1992,0,-2
'[21:30:40.568 2]',684,1993,-2,-4
'[21:30:40.576 2]',682,1994,-6,0
'[21:30:40.584 2]',676,1995,-6,-2
'[21:30:40.592 2]',670,1996,-8,-1
'[21:30:40.600 2]',662,1997,-9,-1
'[21:30:40.608 2]',653,1998,-10,1
'[21:30:40.616 2]',643,1999,-9,0
'[21:30:40.624 2]',634,2000,-9,-1
'[21:30:40.632 2]',625,2001,-10,1
'[21:30:40.640 2]',615,2002,-9,1
'[21:30:40.648 2]',606,2003,-8,-1
'[21:30:40.656 2]',598,2004,-9,2
'[21:30:40.664 2]',589,2005,-7,-1
'[21:30:40.672 2]',582,2006,-8,-3
'[21:30:40.680 2]',574,2007,-11,2
'[21:30:40.688 2]',563,2008,-9,0
'[21:30:40.696 2]',554,2009,-9,1
'[21:30:40.704 2]',545,2010,-8,-2
'[21:30:40.712 2]',537,2011,-10,-1
'[21:30:40.720 2]',527,2012,-11,1
'[21:30:40.728 2]',516,2013,-10,1
'[21:30:40.736 2]',506,2014,-9,0
'[21:30:40.744 2]',497,2015,-9,-2
'[21:30:40.752 2]',488,2016,-11,0
'[21:30:40.760 2]',477,2017,-11,1
'[21:30:40.768 2]',466,2018,-10,-2
'[21:30:40.776 2]',456,2019,-12,3
'[21:30:40.784 2]',444,2020,-9,0
'[21:30:40.792 2]',435,2021,-9,0
'[21:30:40.800 2]',426,2022,-9,1
'[21:30:40.808 2]',417,2023,-8,-1
'[21:30:40.816 2]',409,2024,-9,0
'[21:30:40.824 2]',400,2025,-9,2
'[21:30:40.832 2]',391,2026,-7,3
'[21:30:40.840 2]',384,2027,-4,4
'[21:30:40.848 2]',380,2028,0,5
'[21:30:40.856 2]',380,2029,5,8
'[21:30:40.864 2]',385,2030,13,6
'[21:30:40.872 2]',398,2031,19,1
'[21:30:40.880 2]',417,2032,20,1
'[21:30:40.888 2]',437,2033,21,5
'[21:30:40.896 2]',458,2034,26,-1
'[21:30:40.904 2]',484,2035,25,-1
'[21:30:40.912 2]',509,2036,24,-3
'[21:30:40.920 2]',533,2037,21,-2
'[21:30:40.928 2]',554,2038,19,-4
'[21:30:40.936 2]',573,2039,15,-1
'[21:30:40.944 2]',588,2040,14,-2
'[21:30:40.952 2]',602,2041,12,-3
'[21:30:40.960 2]',614,2042,9,-2
'[21:30:40.968 2]',623,2043,7,-1
'[21:30:40.976 2]',630,2044,6,-3
'[21:30:40.984 2]',636,2045,3,-4
'[21:30:40.992 2]',639,2046,-1,-2
'[21:30:41.000 2]',638,2047,-3,-2
'[21:30:41.008 2]',635,2048,-5,-1
'[21:30:41.016 2]',630,2049,-6,-2
'[21:30:41.024 2]',624,2050,-8,-1
